ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,PURCHASE COUNTRY,COLLECTION_DATE,INVESTIGATION TYPE
1763,Toys/Children's Products,Clay,Lead,1.6,ppm,UNKNOWN OR NOT STATED,UNITED STATES,UNITED STATES,08/16/2016 12:00:00 AM,C
1764,Toys/Children's Products,Clay,Lead,680,ppm,UNKNOWN OR NOT STATED,UNITED STATES,UNITED STATES,08/16/2016 12:00:00 AM,C
1765,Toys/Children's Products,Wooden block,Lead,6,ppm,UNKNOWN OR NOT STATED,UNITED STATES,UNITED STATES,08/16/2016 12:00:00 AM,C
1766,Toys/Children's Products,Block,Lead,12,ppm,UNKNOWN OR NOT STATED,UNITED STATES,UNITED STATES,08/16/2016 12:00:00 AM,C
1767,Toys/Children's Products,Green Marker,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNITED STATES,UNITED STATES,08/16/2016 12:00:00 AM,C
1768,Food-Spice,Onga seasoning,Lead,-1,ppm,UNKNOWN OR NOT STATED,NIGERIA,UNITED STATES,08/18/2016 12:00:00 AM,C
1769,Food-Spice,RED CHILI POWDER,Lead,1300,ppm,UNKNOWN OR NOT STATED,PAKISTAN,PAKISTAN,08/21/2016 12:00:00 AM,C
1770,Cosmetics,INSTA-DRI NAIL POLISH  RAPID RED 286/280,Lead,-1,ppm,SALLY HANSEN,UNITED STATES,UNITED STATES,08/21/2016 12:00:00 AM,C
1771,Food-Candy,Chocolate,Lead,1.9,ppm,UNKNOWN OR NOT STATED,MEXICO,MEXICO,08/23/2016 12:00:00 AM,C
1772,Toys/Children's Products,Crayon,Lead,0.96,ppm,Bazic,UNITED STATES,UNITED STATES,08/23/2016 12:00:00 AM,C
